candidate,candidate_label,market,topk,variant,cost_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,10.00,361,0.52699783,0.53264620,-0.00564837,4.79144965,4.72975905,0.06169061,-0.13793477,-0.11600676,-0.02192801,False,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,20.00,361,0.45620787,0.45643132,-0.00022345,4.25639718,4.17518833,0.08120885,-0.14417387,-0.13023889,-0.01393498,False,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,50.00,361,0.26284013,0.24968500,0.01315514,2.64988327,2.49789620,0.15198707,-0.18828002,-0.17632152,-0.01195850,True,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,0.00,361,0.39115960,0.38823554,0.00292407,4.19883415,4.04709628,0.15173787,-0.15806586,-0.15173159,-0.00633427,True,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,5.00,361,0.35483377,0.35150993,0.00332383,3.86501933,3.71742843,0.14759090,-0.16408106,-0.15859237,-0.00548868,True,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,10.00,361,0.31945194,0.31575129,0.00370065,3.53088957,3.38780170,0.14308787,-0.17005407,-0.16560902,-0.00444505,True,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,20.00,361,0.25142331,0.24703418,0.00438913,2.86210025,2.72905607,0.13304418,-0.18187471,-0.18045094,-0.00142377,True,True,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,50.00,361,0.06758005,0.06158660,0.00599345,0.85893406,0.76367449,0.09525957,-0.21976389,-0.22343402,0.00367013,True,True,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,0.00,361,0.71859137,0.81026015,-0.09166878,4.92726634,5.19123457,-0.26396823,-0.13333825,-0.16088134,0.02754309,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,5.00,361,0.66703674,0.76147164,-0.09443490,4.64740259,4.94769446,-0.30029188,-0.13664100,-0.16408197,0.02744097,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,10.00,361,0.61702002,0.71399042,-0.09697040,4.36764755,4.70434504,-0.33669749,-0.13993165,-0.16727087,0.02733922,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,20.00,361,0.52141918,0.62281148,-0.10139230,3.80891191,4.21853723,-0.40962532,-0.15163617,-0.17589971,0.02426354,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,50.00,361,0.26704957,0.37721178,-0.11016220,2.14669872,2.77377023,-0.62707151,-0.21641339,-0.20381563,-0.01259776,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,industry_size_neutral,0.00,361,0.54956609,0.76109692,-0.21153083,4.27586672,4.97994203,-0.70407530,-0.15151948,-0.15146765,-0.00005183,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,industry_size_neutral,5.00,361,0.49837249,0.70853729,-0.21016480,3.94999085,4.71650238,-0.76651153,-0.16165531,-0.15934486,-0.00231045,False,False,False
