candidate,candidate_label,market,topk,variant,linear_cost_bps,aum_multiplier,impact_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,0.50,20.00,863,0.44779554,0.47036884,-0.02257330,4.56602199,4.80381436,-0.23779237,-0.12599033,-0.12130323,-0.00468711,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,1.00,0.00,863,0.47100892,0.49517317,-0.02416425,4.75944504,5.00834406,-0.24889902,-0.12138286,-0.11600676,-0.00537610,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,1.00,5.00,863,0.46275986,0.48635643,-0.02359657,4.69115489,4.93614552,-0.24499063,-0.12301454,-0.11788289,-0.00513165,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,1.00,10.00,863,0.45455669,0.47759127,-0.02303458,4.62275949,4.86382150,-0.24106201,-0.12464327,-0.11975514,-0.00488814,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,1.00,20.00,863,0.43828700,0.46021453,-0.02192753,4.48566875,4.71881425,-0.23314550,-0.12789192,-0.12348803,-0.00440390,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,2.00,0.00,863,0.47100892,0.49517317,-0.02416425,4.75944504,5.00834406,-0.24889902,-0.12138286,-0.11600676,-0.00537610,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,2.00,5.00,863,0.45935645,0.48271954,-0.02336309,4.66283713,4.90620290,-0.24336578,-0.12368954,-0.11865887,-0.00503067,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,2.00,10.00,863,0.44779554,0.47036884,-0.02257330,4.56602199,4.80381436,-0.23779237,-0.12599033,-0.12130323,-0.00468711,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,2.00,20.00,863,0.42494556,0.44597285,-0.02102729,4.37181484,4.59834392,-0.22652908,-0.13057432,-0.12656877,-0.00400555,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,5.00,0.00,863,0.47100892,0.49517317,-0.02416425,4.75944504,5.00834406,-0.24889902,-0.12138286,-0.11600676,-0.00537610,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,5.00,5.00,863,0.45262685,0.47552959,-0.02290274,4.60659860,4.84673028,-0.24013168,-0.12502733,-0.12019655,-0.00483079,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,5.00,10.00,863,0.43447266,0.45614211,-0.02166945,4.45325034,4.68451572,-0.23126537,-0.12865712,-0.12436699,-0.00429012,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,5.00,20.00,863,0.39883672,0.41812223,-0.01928552,4.14522659,4.35847871,-0.21325213,-0.13616903,-0.13265019,-0.00351885,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,10.00,0.00,863,0.47100892,0.49517317,-0.02416425,4.75944504,5.00834406,-0.24889902,-0.12138286,-0.11600676,-0.00537610,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,10.00,5.00,863,0.44507966,0.46746816,-0.02238850,4.54313802,4.77960893,-0.23647091,-0.12653262,-0.12192634,-0.00460627,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,10.00,10.00,863,0.41960381,0.44027259,-0.02066877,4.32586415,4.54971236,-0.22384821,-0.13165304,-0.12780731,-0.00384573,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,raw,10.00,10.00,20.00,863,0.36998107,0.38737278,-0.01739171,3.88892320,4.08698932,-0.19806612,-0.14316669,-0.13945436,-0.00371233,False,False,False
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,0.50,0.00,863,0.41453712,0.37462492,0.03991220,4.60153527,4.29321187,0.30832340,-0.16150806,-0.16560902,0.00410096,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,0.50,5.00,863,0.40792337,0.36803167,0.03989170,4.53932302,4.22819891,0.31112412,-0.16274082,-0.16703660,0.00429578,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,0.50,10.00,863,0.40134031,0.36146981,0.03987050,4.47705976,4.16314414,0.31391562,-0.16397180,-0.16846179,0.00448998,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,0.50,20.00,863,0.38826566,0.34843964,0.03982603,4.35239119,4.03292115,0.31947004,-0.16642847,-0.17130499,0.00487651,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,1.00,0.00,863,0.41453712,0.37462492,0.03991220,4.60153527,4.29321187,0.30832340,-0.16150806,-0.16560902,0.00410096,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,1.00,5.00,863,0.40519286,0.36530986,0.03988301,4.51353877,4.20125724,0.31228153,-0.16325092,-0.16762722,0.00437630,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,1.00,10.00,863,0.39590986,0.35605744,0.03985241,4.42544250,4.10922147,0.31622103,-0.16499025,-0.16964064,0.00465039,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,1.00,20.00,863,0.37752600,0.33773888,0.03978712,4.24898191,3.92494039,0.32404153,-0.16845830,-0.17365315,0.00519485,True,True,True
case_lingxi_context_router,Conservative context router,us_large_cap,10,industry_size_neutral,10.00,2.00,0.00,863,0.41453712,0.37462492,0.03991220,4.60153527,4.29321187,0.30832340,-0.16150806,-0.16560902,0.00410096,True,True,True
